mode,channel_key,feature_index,feature_label,expectation,shots_or_weight,distribution,raw_distribution,readout_corrected,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1
ideal,q0-q1,52,"X+,Z-->YX",0.0703125,256.0,"{'00011': 72, '00001': 64, '00000': 65, '00010': 55}","{'00011': 72, '00001': 64, '00000': 65, '00010': 55}",False,,,,,
ideal,q0-q1,53,"Y+,Z-->XX",0.03125,256.0,"{'00001': 72, '00011': 65, '00000': 67, '00010': 52}","{'00001': 72, '00011': 65, '00000': 67, '00010': 52}",False,,,,,
ideal,q0-q1,54,"X+,X+->YX",0.09375,256.0,"{'00000': 140, '00001': 116}","{'00000': 140, '00001': 116}",False,,,,,
ideal,q0-q1,55,"Y+,X+->XX",-0.0546875,256.0,"{'00001': 135, '00000': 121}","{'00001': 135, '00000': 121}",False,,,,,
ideal,q0-q1,56,"Z-,Y+->IZ",-0.046875,256.0,"{'00011': 134, '00001': 122}","{'00011': 134, '00001': 122}",False,,,,,
ideal,q0-q1,57,"Y+,Z+->YY",0.0625,256.0,"{'00001': 67, '00000': 72, '00010': 53, '00011': 64}","{'00001': 67, '00000': 72, '00010': 53, '00011': 64}",False,,,,,
ideal,q0-q1,58,"X+,X+->YI",-0.09375,256.0,"{'00010': 61, '00001': 70, '00011': 70, '00000': 55}","{'00010': 61, '00001': 70, '00011': 70, '00000': 55}",False,,,,,
ideal,q0-q1,59,"Y+,X+->XI",0.046875,256.0,"{'00001': 59, '00010': 61, '00011': 63, '00000': 73}","{'00001': 59, '00010': 61, '00011': 63, '00000': 73}",False,,,,,
ideal,q0-q1,60,"Z-,Y+->ZZ",0.0078125,256.0,"{'00011': 129, '00001': 127}","{'00011': 129, '00001': 127}",False,,,,,
ideal,q0-q1,61,"Z+,X+->IY",0.03125,256.0,"{'00000': 132, '00010': 124}","{'00000': 132, '00010': 124}",False,,,,,
ideal,q0-q1,62,"Z+,X+->ZY",0.1015625,256.0,"{'00000': 141, '00010': 115}","{'00000': 141, '00010': 115}",False,,,,,
